date,Average_score
2001-07-17,4.71875
2002-07-17,4.689655172413793
2003-06-17,4.758620689655173
2003-07-17,4.734513274336283
2004-06-17,4.61
2004-07-17,4.785046728971962
2005-07-17,4.534883720930233
2006-07-17,4.537634408602151
2007-07-17,4.525773195876289
2008-07-17,4.677083333333333
2009-07-17,4.466666666666667
2010-06-17,4.679245283018868
2010-07-17,4.928571428571429
2011-06-17,4.791666666666667
2012-06-17,4.589285714285714
2013-06-17,4.597560975609756
2014-06-17,4.388888888888889
2015-06-17,3.625
2016-06-17,3.625
2017-05-23,4.3478260869565215
2017-05-24,4.688524590163935
2017-05-25,4.440860215053763
2017-05-26,4.595238095238095
2017-05-27,4.783333333333333
2017-05-28,4.863636363636363
2017-05-29,4.626373626373627
2017-05-30,4.602941176470588
2017-05-31,4.280405405405405
2017-06-01,4.516624040920716
2017-06-02,4.523605150214593
2017-06-03,4.651851851851852
2017-06-04,4.487804878048781
2017-06-05,4.752
2017-06-06,4.71304347826087
2017-06-07,4.536082474226804
2017-06-08,4.538461538461538
2017-06-09,4.595238095238095
2017-06-10,4.181818181818182
2017-06-17,3.8333333333333335
2018-06-17,3.2777777777777777
2019-06-17,3.2222222222222223
2020-06-17,3.8
2021-06-17,2.3333333333333335
2022-06-17,2.8
2023-06-17,3.090909090909091
2024-06-17,3.2
2025-06-17,2.8
2026-06-17,3.4
2027-06-17,4.562893081761007
2028-06-17,4.667493796526054
2029-06-17,4.644268774703558
2030-06-17,4.67741935483871
