,iso,avg_by_iso
0,ec,3.6666666666666665
1,bh,4.0
2,hn,4.0
3,is,4.0
4,om,4.0
5,pk,4.0
6,kr,4.2
7,hu,4.333333333333333
8,fi,4.363636363636363
9,my,4.407407407407407
10,at,4.461538461538462
11,ca,4.468421052631579
12,ng,4.5
13,nz,4.5
14,se,4.5
15,au,4.50561797752809
16,us,4.507191994996873
17,za,4.529411764705882
18,gr,4.6
19,hk,4.6
20,hr,4.6
21,ie,4.6
22,tw,4.6
23,br,4.612903225806452
24,mx,4.620689655172414
25,nl,4.622222222222222
26,cl,4.625
27,gb,4.664576802507837
28,eg,4.666666666666667
29,pl,4.666666666666667
30,dk,4.678571428571429
31,ru,4.684210526315789
32,ae,4.714285714285714
33,ro,4.714285714285714
34,fr,4.722222222222222
35,de,4.734939759036145
36,tr,4.75
37,no,4.775
38,be,4.777777777777778
39,ch,4.818181818181818
40,es,4.833333333333333
41,id,4.833333333333333
42,pe,4.833333333333333
43,in,4.84375
44,ph,4.857142857142857
45,ua,4.857142857142857
46,cn,4.862068965517241
47,th,4.888888888888889
48,ar,4.9
49,jp,4.9
50,it,4.9411764705882355
51,sg,4.964285714285714
52,al,5.0
53,bg,5.0
54,bn,5.0
55,by,5.0
56,co,5.0
57,cr,5.0
58,cy,5.0
59,cz,5.0
60,do,5.0
61,gt,5.0
62,il,5.0
63,jo,5.0
64,kh,5.0
65,kw,5.0
66,kz,5.0
67,lb,5.0
68,lk,5.0
69,lt,5.0
70,lv,5.0
71,mk,5.0
72,mt,5.0
73,ne,5.0
74,pt,5.0
75,si,5.0
76,sk,5.0
77,tn,5.0
78,tz,5.0
79,uy,5.0
80,vn,5.0
