iso,AVG(score)
AE,4.714285714285714
AL,5.0
AR,4.9
AT,4.461538461538462
AU,4.50561797752809
BE,4.777777777777778
BG,5.0
BH,4.0
BN,5.0
BR,4.612903225806452
BY,5.0
CA,4.468421052631579
CH,4.818181818181818
CL,4.625
CN,4.862068965517241
CO,5.0
CR,5.0
CY,5.0
CZ,5.0
DE,4.734939759036145
DK,4.678571428571429
DO,5.0
EC,3.6666666666666665
EG,4.666666666666667
ES,4.833333333333333
FI,4.363636363636363
FR,4.722222222222222
GB,4.664576802507837
GR,4.6
GT,5.0
HK,4.6
HN,4.0
HR,4.6
HU,4.333333333333333
ID,4.833333333333333
IE,4.6
IL,5.0
IN,4.84375
IS,4.0
IT,4.9411764705882355
JO,5.0
JP,4.9
KH,5.0
KR,4.2
KW,5.0
KZ,5.0
LB,5.0
LK,5.0
LT,5.0
LV,5.0
MK,5.0
MT,5.0
MX,4.620689655172414
MY,4.407407407407407
NE,5.0
NG,4.5
NL,4.622222222222222
NO,4.775
NZ,4.5
OM,4.0
PE,4.833333333333333
PH,4.857142857142857
PK,4.0
PL,4.666666666666667
PT,5.0
RO,4.714285714285714
RU,4.684210526315789
SE,4.5
SG,4.964285714285714
SI,5.0
SK,5.0
TH,4.888888888888889
TN,5.0
TR,4.75
TW,4.6
TZ,5.0
UA,4.857142857142857
US,4.507191994996873
UY,5.0
VN,5.0
ZA,4.529411764705882
